indicator_label,indicator_name,indicator_category,indicator_target,indicator_GAP_category,evaluator_name,evaluator_flag,evaluator_comments,connection_human_health,connection_animal_health,connection_plant_health,connection_environmnental_health,AT1_health_systems_usability,AT1_health_systems_action,AT2_pandemic_zoonoses_usability,AT2_pandemic_zoonoses_action,AT3_endemic_zoonoses_usability,AT3_endemic_zoonoses_action,AT4_food_safety_usability,AT4_food_safety_action,AT5_antimicrobial_resistance_usability,AT5_antimicrobial_resistance_action,AT6_environment_usability,AT6_environment_action
A.CY.6,Mangrove extent,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. The more mangrove forests the better for the environment and H. Examples. better water quality, food safety and livelihood for people, disaster management/preparedness, habitat, carbon sequestration",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
A.CY.7,Global salt marsh extent,complementary,goal A,none assigned,Andrea Paz Velez,,,not connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.8,Wetland Extent Trends Index,complementary,goal A,none assigned,Andrea Paz Velez,,,not connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.9,Forest Fragmentation Index,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = negative for H. Fragmentation means ecosystem degradation with worse H consequences. Habitat loss and stress, human-wildlife conflict, zoonoses, driver of climate change, less resilience",indirectly connected,indirectly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.10,Forest Landscape Integrity Index,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. Forest condition measured by degree of anthropogenic modification. High score means intact forest  which is good for H. Examples: habitat, carbon sequestration, air quality..",indirectly connected,indirectly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.11,Global Vegetation Health Products,complementary,goal A,none assigned,Andrea Paz Velez,,,not connected,not connected,potentially connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.12,Relative Magnitude of Fragmentation (RMF),complementary,goal A,none assigned,Andrea Paz Velez,,,not connected,not connected,not connected,directly connected,not usable,none,usable after adaptation,action 2.3,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.13,Ocean Health Index,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. High score means healthy ocean. Examples: livelihood and food safety for people, habitat for marine wildlife, carbon sequestration, no pollution...",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
A.CY.14,Extent of physical damage to predominant seafloor habitats,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = negative for H. Examples: sediment & nutrient cycling disruption, habtitat loss, coastal protection, less ecosystem services, disturbed food webs",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CY.15,River Fragmentation Index,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = negative for H. Fragmentation means ecosystem degradation with worse H consequences. Examples: loss of habitat for fish, affecting food safety and ecosystem balance, flood protection, water quality",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CY.16,Mean Species Abundance (MSA),complementary,goal A,none assigned,Gabriel Munoz Acevedo,,Traks species population decline. similar rationale as act10,indirectly connected,indirectly connected,potentially connected,indirectly connected,not usable,none,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,not usable,none
A.CY.17,Changes in plankton biomass and abundance,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = neutral to H. Changes can be good or bad. But the more plankton the better. Examples: carbon cycling, marine ecosystem in balance, water quality, animal feed",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CY.18,Comprehensiveness of conservation of socioeconomically and culturally valuable species,complementary,goal A,none assigned,Elodie Eiffener,,Indicator = positive for H. Conservation crucial to keep ecosystems in balance.  ,directly connected,directly connected,directly connected,directly connected,directly usable,action 1.1,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
A.CY.19,Red List Index (wild relatives of domesticated animals),complementary,goal A,Species management,Andrea Paz Velez,,,not connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.20,Species Status Information Index,complementary,goal A,none assigned,Elodie Eiffener,🚩,Is this different from species information index (see above)? ,potentially connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.21,Expected Loss of Phylogenetic diversity,complementary,goal A,none assigned,Gabriel Munoz Acevedo,,"monitors the loss of evolutionary diversity, it can indicate lack of gene flow, small populations, and vulnerable commmunities to invasion",potentially connected,indirectly connected,potentially connected,indirectly connected,not usable,none,usable after adaptation,action 2.1,usable after adaptation,action 3.2,not usable,none,not usable,none,usable after adaptation,action 6.1
A.CY.22,Proportion of populations maintained within species,complementary,goal A,none assigned,Elodie Eiffener,,Indicator = positive for H. Contributes to ecosystem balance,directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
B.1,Services provided by ecosystems,headline,goal B,Nature’s contributions to people,Gabriel Munoz Acevedo,,healthier ecosystems provide more services,directly connected,indirectly connected,indirectly connected,directly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.2
B.b,"Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services",binary,goal B,none assigned,Elodie Eiffener,,"Indicator = positive for H. Basis for trying to keep ecosystem in balance, no guaranteed positive health effects though. Influences H through 2+ pathways: number - policies- biodiversity/ecosystem servvices - H",potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,not usable,none,directly usable,action 6.1
B.CT.1,Red List Index for utilized species,component,goal B,none assigned,Andrea Paz Velez,,,not connected,potentially connected,potentially connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
B.CT.2,Living Planet Index for utilized species,component,goal B,Species management,Andrea Paz Velez,,,not connected,directly connected,directly connected,potentially connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,usable after adaptation,action 6.1
B.CT.3,Total value of ecosystems services in monetary units,component,goal B,none assigned,Francis Banville,,,indirectly connected,potentially connected,potentially connected,indirectly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.3,not usable,none,directly usable,action 6.2
B.CY.1,Red List Index (pollinating species),complementary,goal B,none assigned,Gabriel Munoz Acevedo,,Reduced pollination is less genetic exchange of plants. can indicate habitat transformation and lack of pollination services (less gene flow),potentially connected,potentially connected,indirectly connected,potentially connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,directly usable,action 6.2
B.CY.2,Forestry production and trade (wood fuel),complementary,goal B,"Agriculture, aquaculture, fisheries and forestry",Francis Banville,,,potentially connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.2
B.CY.3,"United Nations Educational, Scientific and Cultural Organization culture 2030 indicators",complementary,goal B,none assigned,Francis Banville,🚩,,directly connected,not connected,not connected,not connected,usable after adaptation,action 1.1,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,usable after adaptation,action 6.1
C.1,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,headline,goal C,Access and benefit-sharing,Francis Banville,,,indirectly connected,not connected,not connected,not connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,directly usable,action 4.3,directly usable,action 5.1,not usable,none
C.2,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,headline,goal C,Access and benefit-sharing,Francis Banville,,,directly connected,not connected,not connected,not connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,directly usable,action 4.3,directly usable,action 5.1,not usable,none
C.CY.1,Number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,complementary,goal C,Access and benefit-sharing,Francis Banville,,,potentially connected,not connected,not connected,not connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,directly usable,action 4.3,directly usable,action 5.1,not usable,none
C.CY.2,Number of checkpoint communiqués published on the Access and Benefit-sharing Clearing-House,complementary,goal C,Access and benefit-sharing,Francis Banville,,,indirectly connected,not connected,not connected,not connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,directly usable,action 4.3,directly usable,action 5.1,not usable,none
C.CY.3,Total number of internationally recognized certificates of compliance for non-commercial purposes in the Access and Benefit-sharing Clearing-House,complementary,goal C,Access and benefit-sharing,Francis Banville,,,indirectly connected,not connected,not connected,not connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,directly usable,action 4.3,directly usable,action 5.1,not usable,none
D.1,"International public funding, including official development assistance for conservation and sustainable use of biodiversity and ecosystems",headline,goal D,none assigned,Elodie Eiffener,,"Indicator = positive for H. Basis for trying to keep ecosystem in balance, no guaranteed positive health effects though. Influences H through : funding - biodiversity/ecosystem services - H",indirectly connected,directly connected,directly connected,directly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.2,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,headline,goal D,none assigned,Elodie Eiffener,,"Indicator = positive for H. Basis for trying to keep ecosystem in balance, no guaranteed positive health effects though. Influences H through : funding - biodiversity/ecosystem services - H",indirectly connected,directly connected,directly connected,directly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.3,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,headline,goal D,none assigned,Elodie Eiffener,,"Indicator = positive for H. Basis for trying to keep ecosystem in balance, no guaranteed positive health effects though. Influences H through : funding - biodiversity/ecosystem services - H",indirectly connected,directly connected,directly connected,directly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.1,Number of researchers per population,complementary,goal D,none assigned,Gabriel Munoz Acevedo,,More scientific activity \ influence. More experts to take decisions,directly connected,potentially connected,potentially connected,indirectly connected,directly usable,action 1.2,directly usable,action 2.3,not usable,none,not usable,none,not usable,none,not usable,none
D.CY.2,Number of joint scientific papers published in the Ocean Biodiversity Information System by sector,complementary,goal D,Means of implementation,Francis Banville,,,not connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,usable after adaptation,action 6.3
D.CY.3,Proportion of total research budget allocated to research in the field of marine technology,complementary,goal D,Means of implementation,Francis Banville,,,not connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.2,usable after adaptation,action 5.1,usable after adaptation,action 6.3
D.CY.4,Volume of official development assistance flows for scholarships by sector and type of study,complementary,goal D,Means of implementation,Francis Banville,,,potentially connected,not connected,not connected,not connected,usable after adaptation,action 1.2,usable after adaptation,action 2.3,usable after adaptation,action 3.1,usable after adaptation,action 4.3,usable after adaptation,action 5.1,usable after adaptation,action 6.4
D.CY.5,Global imports of information and communications technology goods by category,complementary,goal D,none assigned,Gabriel Munoz Acevedo,,"Technological capacity for research, digital communication, and project support",indirectly connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
D.CY.6,International funding targeted at indigenous peoples and local communities within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Community engagement and benefits of traditional knowledge. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.7,International funding targeted at youth within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Important to have and support sustainability aware and knowledgeable youth to ensure competent future workforce. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.8,International funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Importance to give everyone a voice to ensure maximum benefit for biodiversity and include different perspectives. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.9,Monetary value of the annual budget for biodiversity from total national budget,complementary,goal D,none assigned,Gabriel Munoz Acevedo,,Importance of biodiversity for its people,potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.2,directly usable,action 2.3,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.4
D.CY.10,Percentage of annual biodiversity expenditure in total national government budgets,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Money is needed to create positive change and to facilitate nature restoration efforts. ,indirectly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.11,Domestic funding targeted at indigenous peoples and local communities within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Community engagement and benefits of traditional knowledge. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.12,Domestic funding targeted at youth within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Important to have and support sustainability aware and knowledgeable youth to ensure competent future workforce. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.13,Domestic funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Importance to give everyone a voice to ensure maximum benefit for biodiversity and include different perspectives. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.14,Private funding targeted at indigenous peoples and local communities within biodiversity-related activities,complementary,goal D,none assigned,Gabriel Munoz Acevedo,,Private funding encourages communities to develop projects in benefit of its own commiinitie,potentially connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.2,usable after adaptation,action 2.3,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.4
D.CY.15,Private funding targeted at youth within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Important to have and support sustainability aware and knowledgeable youth to ensure competent future workforce. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.16,Private funding targeted at gender equality and women’s rights policy objectives within biodiversity-related activities,complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Importance to give everyone a voice to ensure maximum benefit for biodiversity and include different perspectives. Increases sense of belonging and agency,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
D.CY.17,"Private funding mobilized for indigenous peoples and local communities, women and youth",complementary,goal D,none assigned,Elodie Eiffener,,Indicator = positive for H. Community engagement and inclusive funding mechanisms. Increases sense of belonging and agency and includes multiple perspectives,directly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.3,usable after adaptation,action 5.2,directly usable,action 6.1
